,id,created_at,full_text,display_text_range,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,possibly_sensitive
41,1441360973231575047,Fri Sep 24 11:16:49 +0000 2021,"Ich will, dass die nächste Bundesregierung eine Klimaregierung wird und das geht nur mit starken Grünen.","[0, 104]",2179010672.0,ABaerbock,False,336,4913,
42,1441360969192468489,Fri Sep 24 11:16:48 +0000 2021,"Die Wahl am Sonntag ist eine Klimawahl. So wie in Köln gehen heute deutschlandweit zehntausende Kinder, Jugendliche und Menschen jeden Alters beim #Klimastreik auf die Straße und machen deutlich: Sie wollen den Aufbruch, weil sie wissen, dass es um unser aller Zukunft geht. https://t.co/ii8eEJ79Q1","[0, 274]",,,False,1132,11435,False
43,1440234188959932421,Tue Sep 21 08:39:23 +0000 2021,"Die Radikalisierung des Querdenkermilieus bereitet mir große Sorgen. Wir sind alle gefordert, uns gegen den zunehmenden Hass zu stellen.","[0, 136]",2179010672.0,ABaerbock,False,724,14063,
44,1440234187248652294,Tue Sep 21 08:39:23 +0000 2021,"Mich erschüttert der furchtbare Mord an einem jungen Mann, der nur darum bat, die geltenden Regeln zu befolgen, umsichtig und solidarisch zu sein. Mein Mitgefühl gilt seiner Familie und seinen Nächsten.","[0, 202]",,,False,1655,32045,
45,1439625416692621321,Sun Sep 19 16:20:20 +0000 2021,Ich freue mich auf die Diskussion heute Abend beim letzten TV #Triell ! https://t.co/iIj7FuNkt1,"[0, 71]",,,True,252,5342,False
46,1438837046093692928,Fri Sep 17 12:07:38 +0000 2021,"Ich freue mich, dass der Hauptsitz der Initiative Bauhaus der Erde in #Potsdam sein wird - ein gutes Signal für die Region als #Innovationsstandort! Nachhaltiges Bauen ist entscheidend für die Eindämmung der Klimakrise und eine meiner Prioritäten für die kommende Bundesregierung. https://t.co/GuOSlozThO","[0, 280]",,,True,94,905,False
47,1438527539463475203,Thu Sep 16 15:37:46 +0000 2021,"Heute Abend bin ich um 20.15 Uhr im @ZDF #Klartext zu Gast. Ich freue mich auf die Diskussion mit den Bürgerinnen und Bürgern!

https://t.co/4KDM6QrIvG","[0, 151]",,,False,187,2928,False
48,1438507557543297030,Thu Sep 16 14:18:22 +0000 2021,"Nach acht Jahren #GroKo braucht es endlich eine #Bildungsoffensive zwischen Bund, Ländern und Kommunen für #Bildungsgerechtigkeit, Schulgebäudesanierung, Digitalisierung und Fachkräftesicherung. 
Alles andere gefährdet die #Zukunftschancen unseres Landes.","[0, 255]",2179010672.0,ABaerbock,False,117,1514,
49,1438507552958943237,Thu Sep 16 14:18:21 +0000 2021,"Nach dem Corona-Jahr gehen die Jugendämter davon aus, dass sich die Schulabbrecherquote dieses Jahr mehr als verdoppelt. Der #OECD-Bericht zeigt wieder einmal, dass unser Bildungssystem es nicht schafft, allen Kindern gute #Bildung und gleiche #Chancen zukommen zu lassen. https://t.co/YdDptbFW6T","[0, 272]",,,True,106,1268,False
50,1437045896898822154,Sun Sep 12 13:30:15 +0000 2021,Freue mich aufs zweite #Triell und eine spannende Diskussion heute Abend um 20.15 Uhr! https://t.co/MMGyDEKg0z,"[0, 86]",,,True,247,4668,False
51,1436986791333187587,Sun Sep 12 09:35:23 +0000 2021,"Mit Judith Holofernes habe ich im Tourbus darüber gesprochen, warum die Bundestagswahl die wohl größte Konsumentscheidung ist und wann es im Leben auch mal die Chuzpe braucht, Schiller umzudichten. Vielen Dank für das spannende Gespräch, @jholofernes! https://t.co/Rq6n9Hkid3 https://t.co/TiBrrd36vb","[0, 275]",,,False,217,1893,False
52,1436584429359714307,Sat Sep 11 06:56:33 +0000 2021,"Das westliche Wertebündnis sollte sich weiter für Demokratie, Rechtsstaatlichkeit, Freiheit und Menschenrechte einsetzen – aber mit realistischen Zielen, sorgfältig austarierten Mitteln und einer Gesamtstrategie im engen Zusammenspiel mit internationalen Partnern. 4/4","[0, 268]",2179010672.0,ABaerbock,False,31,1414,
53,1436584427719729160,Sat Sep 11 06:56:32 +0000 2021,"Auch heute ist die Bekämpfung des Terrorismus eine zentrale internationale Aufgabe, denn er bleibt eine große Gefahr. Aber wir sind auch verpflichtet, einen kritischen Blick auf die Entwicklung zu werfen, die der Kampf gegen den Terror genommen hat. 3/4","[0, 253]",2179010672.0,ABaerbock,False,30,1367,
54,1436584426197209088,Sat Sep 11 06:56:32 +0000 2021,"Wie so viele weiß ich noch genau, wo ich heute vor 20 Jahren war: am Handy, allein in einer Messehalle, die furchtbaren Nachrichten vor Augen. In Gedanken bei meiner amerikanischen Gastfamilie aus meiner Schulzeit, meinen amerikanischen Freund*innen. 2/4","[0, 254]",2179010672.0,ABaerbock,False,20,959,
55,1436584424586481665,Sat Sep 11 06:56:31 +0000 2021,"9/11 war eine Zäsur. Der Tag hat uns deutlich gemacht, wie verwundbar wir sind. Ich gedenke der Menschen, die heute vor 20 Jahren ihr Leben verloren haben. #September11 1/4","[0, 172]",,,False,186,3749,
56,1436248487851696128,Fri Sep 10 08:41:38 +0000 2021,"Klimakrise ist jetzt. Hören wir auf, nur zu reden. Machen wir. Dafür am 26. September GRÜN wählen. https://t.co/vKtwb1KpwE","[0, 98]",,,False,7306,33146,False
57,1435968515089985545,Thu Sep 09 14:09:07 +0000 2021,"Wir feiern dieses Jahr 1700 Jahre jüdisches Leben in Deutschland. Unser aller Auftrag ist, jüdisches Leben in Deutschland zu schützen und sichtbarer zu machen.
Vielen Dank für die Einladung, liebe @Cha_Knobloch und Israelitische Kultusgemeinde München und Oberbayern. https://t.co/wvLzn0vY5B","[0, 267]",,,False,185,3117,False
58,1435935927268937732,Thu Sep 09 11:59:38 +0000 2021,"Hab mit Martin Rütter über Tierhaltung, Landwirtschaft und Vertrauen gesprochen. Wenn ihr wissen wollt, wobei wir beide hartnäckig sein können, schaut rein: https://t.co/7SVXuWZNp8 https://t.co/svPUL3MUWg","[0, 180]",,,False,204,1694,False
59,1434882469333983233,Mon Sep 06 14:13:34 +0000 2021,"Heute Abend beginnt das Jahr 5782 nach dem jüdischen Kalender. Ich wünsche allen Jüdinnen und Juden ein süßes, gesundes und zuversichtliches Neues Jahr! Schana towa umetuka.
#RoshHashanah","[0, 187]",,,False,401,9012,
60,1434845926623961091,Mon Sep 06 11:48:21 +0000 2021,Auch die #Bundesregierung muss ihre Hilfe für politisch Verfolgte in #Belarus ausbauen. Das derzeit geltende Kontingent von nur 50 humanitären Visa ist vor diesem Hintergrund deutlich zu niedrig und muss dringend erhöht werden. 3/3,"[0, 231]",2179010672.0,ABaerbock,False,54,1177,
61,1434845925336354820,Mon Sep 06 11:48:21 +0000 2021,Die Zahl politischer Gefangener in #Belarus wächst täglich an. Das EU-Sanktionsregime sollte vor diesem Hintergrund ausgeweitet und Ausnahmeregelungen etwa im Kali- oder Finanzsektor abgeschafft werden. 2/3,"[0, 206]",2179010672.0,ABaerbock,False,56,1167,
